Title,Productioncompany,Release date,Running time,Country,Language,Box office,Metascore,imdbRating,Rotten_Tomatoes,Genre,Rated,BoxOffice_Api,Type,Directed by,Written by,Based on,Produced by,Starring,Music by,Distributed by,Budget,Story by,Narrated by,Cinematography,Edited by,Languages,Screenplay by,Countries,Productioncompanies,Color process,Created by,Country of origin,No. of seasons,No. of episodes,Executive producers,Production company,Original network,Picture format,Audio format,Original release,Related shows,Original language,Executive producer,Producers,Editors,Distributor,Japanese,Hepburn,Adaptation by,Animation by,Traditional,Simplified
The Santa Clause 3: The Escape Clause,,"['November3,2006(2006-11-03)']",['92 minutes'],['United States'],['English'],['$110.8million[2]'],32,4.8,17%,"Adventure, Comedy, Family",G,"$84,500,122",movie,['Michael Lembeck'],"['Ed Decter', 'John J. Strauss']",['Characters createdby Leo BenvenutiSteve Rudnick'],"['Robert Newmyer', 'Brian Reilly', 'Jeffrey Silver']","['Tim Allen', 'Elizabeth Mitchell', 'Judge Reinhold', 'Wendy Crewson', 'Ann-Margret', 'Eric Lloyd', 'Spencer Breslin', 'Liliana Mumy', 'Alan Arkin', 'Martin Short']",['George S. Clinton'],['Buena Vista Pictures'],['$12million[1]'],,,['Robbie Greenberg'],['David Finfer'],,,,"['Walt Disney Pictures', 'Outlaw Productions', 'Boxing Cat Films']",,,,,,,,,,,,,,,,,,,,,,,
Bridge to Terabithia,,"['February16,2007(2007-02-16)']",['95 minutes[2]'],['United States[1]'],['English'],['$137.6 million[4]'],74,7.2,85%,"Drama, Family, Fantasy",PG,"$82,272,442",movie,['Gábor Csupó'],,['Bridge to Terabithiaby Katherine Paterson'],"['David L. Paterson', 'Lauren Levine', 'Hal Lieberman']","['Josh Hutcherson', 'AnnaSophia Robb', 'Bailee Madison', 'Robert Patrick', 'Zooey Deschanel', 'Latham Gaines']",['Aaron Zigman'],['Buena Vista Pictures Distribution (United States)Summit Entertainment (International)'],['$20–25 million[3][4]'],,,['Michael Chapman'],['John Gilbert'],,"['David L. Paterson', 'Jeff Stockwell']",,['Walt Disney PicturesWalden Media[1]Klasky Csupo'],,,,,,,,,,,,,,,,,,,,,,,
Meet the Robinsons,,"['March23,2007(2007-03-23) (US)', 'March30,2007(2007-03-30) (UK)']",['94 minutes[1][2]'],['United States'],['English'],['$169.3 million[4]'],61,6.8,67%,"Animation, Adventure, Comedy",G,"$97,822,171",movie,['Stephen Anderson'],,['A Day with Wilbur Robinsonby William Joyce'],['Dorothy McKim'],"['Daniel Hansen', 'Jordan Fry', 'Wesley Singerman', 'Angela Bassett', 'Tom Selleck', 'Harland Williams', 'Laurie Metcalf', 'Nicole Sullivan', 'Adam West', 'Ethan Sandler', 'Tom Kenny', 'Stephen Anderson']",['Danny Elfman'],['Buena Vista Pictures Distribution'],['$150 million[3]'],,,,['Ellen Keneshea'],,"['Jon Bernstein', 'Michelle Spitz', 'Don Hall', 'Nathan Greno', 'Aurian Redson', 'Joe Mateo', 'Stephen Anderson']",,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,
Pirates of the Caribbean: At World's End,,"['May19,2007(2007-05-19) (Disneyland Resort)', 'May25,2007(2007-05-25) (United States)']",['167 minutes[1]'],['United States'],['English'],['$960.9 million[2]'],50,7.1,44%,"Action, Adventure, Fantasy",PG-13,"$309,420,425",movie,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio']","['Charactersby Ted ElliottTerry RossioStuart BeattieJay Wolpert', 'Pirates of the Caribbeanby Walt Disney']",['Jerry Bruckheimer'],"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Chow Yun-fat', 'Geoffrey Rush', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']",['Hans Zimmer'],['Buena Vista Pictures'],['$300 million[2]'],,,['Dariusz Wolski'],['Craig Wood Stephen Rivkin'],,,,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",,,,,,,,,,,,,,,,,,,,,,,
Ratatouille,,"['June22,2007(2007-06-22) (Kodak Theatre)', 'June29,2007(2007-06-29) (United States)']",['111 minutes'],['United States'],['English'],['$620.7million[2]'],96,8.0,96%,"Animation, Adventure, Comedy",G,"$206,445,654",movie,['Brad Bird'],,,['Brad Lewis'],"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Janeane Garofalo', 'Brad Garrett', ""Peter O'Toole"", 'Brian Dennehy', 'Peter Sohn', 'Will Arnett']",['Michael Giacchino'],['Walt Disney Studios Motion Pictures'],['$150million[1]'],"['Jan Pinkava', 'Jim Capobianco', 'Brad Bird']",,"['Sharon Calahan', 'Robert Anderson']","['Darren T. Holmes', 'Stan Webb']",,['Brad Bird'],,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,,,
Underdog,,"['August3,2007(2007-08-03)']",['82 minutes[3]'],['United States'],['English'],['$65.3 million[5]'],37,4.8,16%,"Action, Adventure, Comedy",PG,"$43,760,605",movie,['Frederik Du Chau'],"['Joe Piscatella', 'Adam Rifkin', 'Craig A. Williams']",['Underdogby W. Watts Biggers'],"['Gary Barber', 'Roger Birnbaum', 'Jonathan Glickman', 'Jay Polstein']","['Jim Belushi', 'Peter Dinklage', 'John Slattery', 'Patrick Warburton', 'Brad Garrett', 'Amy Adams', 'Jason Lee']",['Randy Edelman'],['Walt Disney Studios Motion Pictures[1]'],['$25 million[4]'],,,['David Eggby'],['Tom Finan'],,,,"['Walt Disney Pictures[1]', 'Spyglass Entertainment[1]', 'Classic Media[2]']",,,,,,,,,,,,,,,,,,,,,,,
The Pixar Story,,"['August28,2007(2007-08-28)']",['87 minutes'],,['English'],,N/A,7.8,86%,Documentary,G,N/A,movie,['Leslie Iwerks'],['Leslie Iwerks'],,['Leslie Iwerks'],,['Jeff Beal'],['Walt Disney StudiosMotion Pictures'],,,['Stacy Keach'],,"['Leslie Iwerks  Stephen Myers, A.C.E']",,,,['Leslie Iwerks ProductionsPixar Animation Studios'],,,,,,,,,,,,,,,,,,,,,,,
The Game Plan,,"['September23,2007(2007-09-23) (Hollywood)', 'September28,2007(2007-09-28) (United States)']",['110 minutes'],['United States'],['English'],['$146.6 million[1]'],,,,,,,,['Andy Fickman'],,,['Mark CiardiGordon Gray'],"['Dwayne ""The Rock"" JohnsonMadison PettisKyra SedgwickMorris ChestnutRoselyn Sanchez']",['Nathan Wang'],['Buena Vista Pictures'],['$22 million[1]'],['Nichole MillardKathryn PriceAudrey Wells'],,['Greg Gardiner'],['Michael Jablow'],,['Nichole MillardKathryn Price'],,['Walt Disney PicturesMayhem Pictures'],,,,,,,,,,,,,,,,,,,,,,,
Enchanted,,"['October20,2007(2007-10-20) (London)', 'November21,2007(2007-11-21) (United States)']",['107 minutes[1]'],['United States'],['English'],['$340.5 million[3]'],,,,,,,,['Kevin Lima'],['Bill Kelly'],,"['Barry Josephson', 'Barry Sonnenfeld']","['Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Idina Menzel', 'Susan Sarandon']",['Alan Menken'],['Walt Disney Studios Motion Pictures'],['$85 million[2]'],,,['Don Burgess'],"['Gregory Perler', 'Stephen A. Rotter']",,,,"['Walt Disney Pictures', 'Josephson Entertainment', 'Andalasia Productions', 'Right Coast Productions']",,,,,,,,,,,,,,,,,,,,,,,
National Treasure: Book of Secrets,,"['December21,2007(2007-12-21)']",['124 minutes'],['United States'],['English'],['$459.2 million[2]'],48,6.5,36%,"Action, Adventure, Mystery",PG,"$219,964,115",movie,['Jon Turteltaub'],,['Charactersby Jim KoufOren AvivCharles Segars'],['Jerry BruckheimerJon Turteltaub'],"['Nicolas Cage', 'Jon Voight', 'Harvey Keitel', 'Ed Harris', 'Diane Kruger', 'Justin Bartha', 'Bruce Greenwood', 'Helen Mirren']",['Trevor Rabin'],['Walt Disney Studios Motion Pictures'],['$130 million[1]'],"['Gregory Poirier', 'Cormac Wibberley', 'Marianne Wibberley', 'Ted Elliott', 'Terry Rossio']",,['John SchwartzmanAmir Mokri'],['William GoldenbergDavid Rennie'],,['Cormac WibberleyMarianne Wibberley'],,['Walt Disney PicturesJerry Bruckheimer FilmsJunction EntertainmentSaturn Films'],,,,,,,,,,,,,,,,,,,,,,,
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,['Walt Disney Pictures'],"['February 1, 2008']",['74 minutes'],['United States'],['English'],['$70.6 million[1]'],59,2.5,71%,"Documentary, Music",G,"$65,281,781",movie,['Bruce Hendricks'],,,['Art Repola'],['Miley CyrusJonas BrothersKenny OrtegaBilly Ray Cyrus'],['Matthew GerrardRobbie NevilMiley CyrusJamie HoustonTim James'],['Walt Disney StudiosMotion Pictures'],['$7 million'],,,['Mitchell Amundsen'],['Michael Tronick'],,,,,,,,,,,,,,,,,,,,,,,,,,,
College Road Trip,,"['March7,2008(2008-03-07)']",['83 minutes'],['United States'],['English'],['$51.5 million'],36,4.3,12%,"Adventure, Comedy, Drama",G,"$45,610,425",movie,['Roger Kumble'],['Emi MochizukiCarrie EvansCinco PaulKen Daurio'],,['Andrew Gunn'],['Martin LawrenceRaven-SymonéDonny Osmond'],['Edward Shearmur'],['Walt Disney StudiosMotion Pictures'],['$25 million[1]'],,,['Theo van de Sande'],['Roger Bondelli'],,,,['Walt Disney PicturesGunn FilmsHead Gear Films'],,,,,,,,,,,,,,,,,,,,,,,
The Chronicles of Narnia: Prince Caspian,,"['May7,2008(2008-05-07) (New York City)', 'May16,2008(2008-05-16) (United States)', 'June26,2008(2008-06-26) (United Kingdom)']",['150 minutes'],,['English'],['$419.7 million[2]'],62,6.5,66%,"Action, Adventure, Family",PG,"$141,621,490",movie,['Andrew Adamson'],,['Prince Caspianby C. S. Lewis'],['Mark JohnsonAndrew AdamsonPhilip Steuer'],"['Georgie Henley', 'Skandar Keynes', 'William Moseley', 'Anna Popplewell']",['Harry Gregson-Williams'],['Walt Disney Studios Motion Pictures'],['$225 million[1]'],,,['Karl Walter Lindenlaub'],['Sim Evan-Jones'],,['Andrew AdamsonChristopher MarkusStephen McFeely'],['United StatesUnited Kingdom'],['Walt Disney PicturesWalden Media'],,,,,,,,,,,,,,,,,,,,,,,
WALL-E,,"['June23,2008(2008-06-23) (Los Angeles)', 'June27,2008(2008-06-27) (United States)']",['97 minutes[1]'],['United States'],,['$521.3 million[3]'],,,,,,,,['Andrew Stanton'],,,['Jim Morris'],"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver']",['Thomas Newman'],['Walt Disney Studios Motion Pictures'],['$180 million[2]'],"['Andrew Stanton', 'Pete Docter']",,"['Jeremy Lasky', 'Danielle Feinberg']",['Stephen Schaffer'],,"['Andrew Stanton', 'Jim Reardon']",,"['Walt Disney Pictures', 'Pixar Animation Studios']",,,,,,,,,,,,,,,,,,,,,['Ralph Eggleston'],,
Beverly Hills Chihuahua,,"['October3,2008(2008-10-03) (United States)']",['91 minutes'],['United States'],['English'],['$149.3 million'],,,,,,,,['Raja Gosnell'],,,['David HobermanTodd LiebermanJohn JacobsRicardo Del Río'],['Piper PeraboManolo CardonaJamie Lee CurtisAndy GarcíaGeorge LopezDrew Barrymore'],['Heitor Pereira'],['Walt Disney StudiosMotion Pictures'],['$20 million[1]'],['Jeff Bushell'],,['Phil Méheux'],['Sabrina Plisco'],,['Analisa LaBiancoJeff Bushell'],,['Walt Disney PicturesMandeville FilmsSmart Entertainment'],,,,,,,,,,,,,,,,,,,,,,,
